a,b,c
-75,-16,87
-60,-80,21
15,94,-24
37,39,25
60,-43,15
-62,-5,-83
0,-73,31
-55,24,-31
-24,-86,-96
-8,68,59
-23,-73,-43
-79,-35,-52
3,-9,3
-4,53,58
-29,-54,58
78,2,60
52,67,87
51,42,57
22,-74,15
17,36,67
46,93,-17
17,15,59
-49,81,93
36,-43,-49
99,-98,13
-36,54,-38
44,-96,9
-60,-66,-61
93,54,-34
-69,-25,76
-81,16,-58
-62,-68,-64
36,1,-33
-76,-38,12
64,-29,-12
9,14,93
-44,79,52
45,-46,-1
-13,-62,36
-85,-60,-57
-80,-71,30
31,44,-11
-71,-74,5
49,-76,-46
-67,87,-70
-87,-6,65
13,15,37
79,-24,-36
69,18,41
-63,48,72
-53,84,-26
71,-50,50
85,58,-96
-2,-48,-4
-2,-21,-85
91,30,-77
-7,-40,-13
4,37,10
60,-91,20
69,87,-20
66,-50,9
94,-32,-44
-56,78,-42
-33,46,-48
81,36,-49
42,-28,16
76,-90,-22
-88,-27,61
59,-33,-43
-64,27,-74
80,-58,-64
-53,-93,-89
-11,-90,56
82,42,30
17,-62,61
3,67,90
56,-92,-6
85,27,26
-84,-68,-34
20,70,-62
35,44,38
17,-38,12
-24,20,4
18,29,7
-70,13,-30
-89,-55,-37
-78,-83,27
95,-36,-53
-59,-32,-65
-26,-93,-71
-86,-24,78
15,19,-73
40,-16,-89
63,-86,67
-67,9,53
-14,-12,32
-70,22,-54
38,27,24
96,97,-89
93,-20,-41
52,28,87
60,33,51
11,17,53
47,-69,-7
11,-39,-10
-32,-52,-16
-10,99,-56
94,-3,91
-18,61,-22
11,34,59
-97,-21,37
90,33,5
86,-67,-58
68,-14,13
-76,41,-17
95,96,-86
-40,28,92
26,76,-69
27,-7,-63
27,-74,-100
68,31,59
53,-19,-58
-88,-71,75
86,23,44
83,-41,14
58,-47,-59
92,79,-79
-80,48,15
-86,37,-65
13,-17,0
4,68,91
-30,-28,-44
-14,-23,73
50,65,50
97,51,-79
-99,-97,54
100,-72,89
-70,5,68
73,-87,-96
99,25,60
71,-31,30
-98,64,-16
55,48,68
60,-19,-26
-1,-45,-41
81,31,88
-81,-66,-31
51,72,31
-25,-36,14
15,-8,3
-74,-36,58
-52,-97,77
-58,91,-59
54,8,-64
53,48,69
-11,-49,11
66,-73,-59
39,97,-36
4,-34,-39
-61,10,-36
9,23,-80
-8,22,-89
6,77,87
-13,-60,-33
9,42,-94
90,44,-72
-45,-68,43
-43,-51,35
8,-65,-57
99,-67,55
-32,-90,42
-49,81,-34
-70,-72,-39
18,33,-77
-31,-76,3
28,-2,-22
-44,-76,31
59,-74,-7
-7,-60,-79
13,47,79
52,37,-64
-66,80,-7
52,-14,25
31,41,-37
-4,-40,38
91,-6,71
62,16,86
-9,-47,56
66,-35,85
-50,7,7
-26,-15,-95
92,72,-45
22,83,-86
67,-22,-81
90,-47,17
99,19,96
-23,-73,-6
-53,-14,19
-52,34,-80
-59,78,-25
-47,-10,47
-65,72,100
5,33,-12
-85,-71,-84
70,11,-62
72,96,-14
-87,-25,98
-7,67,-67
4,90,-81
0,-95,-69
44,-58,-61
-10,53,55
100,-50,-16
-50,-98,41
-27,42,52
-73,-29,31
-39,-52,-58
-34,-29,-39
-24,-7,49
93,52,-9
28,-76,88
-80,-100,75
-71,-78,-46
5,-66,63
-57,-34,-68
-4,53,8
76,-96,-61
-21,52,73
7,-26,17
-73,-100,58
-50,21,-49
-8,76,23
37,77,68
16,28,98
63,-57,-15
-20,-62,-11
-14,-72,-11
-2,76,-33
53,-1,23
-66,53,-28
-81,-34,-56
35,11,55
65,87,-11
-62,-46,-57
-75,-64,6
42,-49,19
-65,-90,51
-96,17,19
70,44,-68
27,98,35
-35,-36,6
-88,-45,-22
-60,-80,2
-59,14,-72
55,-19,4
-96,69,-52
11,20,-82
-34,27,1
-39,60,-1
24,1,-39
93,50,72
70,17,44
-82,-33,16
49,-57,-41
98,37,7
88,62,-31
30,91,7
9,16,45
-73,34,-14
62,-84,80
-47,-25,86
-64,-60,34
21,-96,81
58,-71,-12
-64,-13,84
36,-25,87
-19,-6,7
-28,-11,36
90,-34,13
77,-95,-77
-57,-22,-68
43,-45,-35
84,-24,66
19,34,54
36,-62,61
86,-10,-53
-97,-7,-13
-16,-100,66
-37,72,13
58,75,-48
63,85,-72
16,-72,38
63,-47,5
100,-23,37
-62,48,-67
37,-48,-9
61,14,-27
34,50,0
71,-13,67
-51,-68,-9
100,-42,-91
32,-95,-17
-21,33,-43
86,-27,-69
18,-39,68
-7,26,-38
93,-43,-29
-91,-71,3
59,-87,-48
21,-33,-31
-92,35,82
-77,76,-90
72,-62,66
19,-92,-63
0,65,84
0,-50,57
73,8,60
85,-21,88
-87,80,58
28,-66,86
-6,66,63
-40,-89,-70
-22,16,29
78,23,36
31,89,-96
-94,-91,13
-82,-30,-15
25,-35,-88
40,84,89
-10,-38,8
-31,81,-88
95,-51,-7
-37,75,1
33,-98,-13
8,62,59
59,45,43
-61,85,38
100,42,-81
20,41,12
75,31,16
-10,40,72
68,32,38
-76,-40,83
2,71,59
-81,60,43
0,51,-80
23,59,-81
-36,14,65
-60,35,-23
94,-54,-61
27,67,-76
-40,-38,-10
-46,25,80
44,-87,-49
-80,-34,-84
-23,-72,66
80,-11,42
35,6,36
-42,64,-67
18,-22,-8
77,34,7
-66,-48,61
-39,41,51
3,86,74
62,-94,-72
38,-57,3
-42,-4,-85
43,-2,-23
-73,61,73
96,62,72
-54,-43,5
93,-35,-57
-7,-7,11
71,74,27
-28,12,0
11,-75,-14
46,87,-38
87,88,-24
16,36,35
-98,-100,49
42,-81,-65
-5,97,85
14,-28,-60
24,-60,92
46,58,-41
-63,-89,-10
-79,20,36
-2,41,36
-53,99,-40
-100,-10,-2
22,-12,8
23,52,-56
54,-27,11
23,86,55
44,-43,64
-80,55,81
93,-1,-40
-81,-98,-24
-58,39,-2
10,78,-96
-44,7,-87
85,-17,57
9,78,42
40,-84,41
98,-100,-86
15,84,85
-21,-1,13
66,93,68
93,71,-26
-69,80,85
-51,24,83
57,-69,81
-56,56,-73
3,-27,-68
-43,84,-60
-46,-41,-91
-84,11,83
-84,-11,85
-88,92,-3
-48,80,97
-18,88,44
28,-58,-57
-25,14,-61
74,85,-74
-58,-57,-68
-88,5,-45
5,-62,3
-60,90,35
31,78,-6
60,87,47
-26,-43,-69
-14,-30,45
-13,66,50
36,70,10
-94,-57,-87
-39,31,-99
-96,-48,-91
-92,-32,14
70,-63,77
-67,44,14
77,15,30
-82,56,96
39,-83,69
5,32,-85
33,-23,-3
73,32,-11
-85,-59,13
-98,-64,-82
-29,33,53
-23,36,59
78,36,21
16,54,38
42,5,-36
-19,-51,9
-54,-16,71
-57,-56,-45
-86,-68,-13
-26,-38,-25
15,-30,33
27,-46,25
87,-95,96
9,24,-14
18,-44,-38
100,59,-39
97,-81,-63
-91,-84,16
50,99,-57
-31,-29,-96
-72,12,49
90,95,-65
-33,-92,90
-95,49,54
-4,47,75
-42,70,-90
-66,-55,-100
65,-16,62
-8,32,-67
-92,-87,-83
46,-30,-33
-13,-8,71
58,-45,10
35,75,29
84,-64,-1
-67,47,33
9,-7,-55
49,45,51
-64,98,-53
84,20,35
-29,-30,-83
-6,54,29
-18,36,-42
36,-55,29
27,-70,41
0,-100,-39
68,-23,85
-17,-83,-28
28,-10,-71
-61,63,-69
-30,55,-42
53,26,4
-38,-51,-31
1,2,84
-41,64,-74
84,17,-40
38,60,-12
-74,87,34
14,43,78
-32,-11,-100
-8,95,-50
-5,58,-80
-73,100,40
-29,-57,-53
-32,46,44
60,-35,100
-83,-65,84
-1,56,-22
-28,-92,21
-44,-39,-46
-81,-61,23
81,74,-33
-24,-42,-75
39,-72,92
98,15,26
9,-52,-78
-51,-84,57
-41,-34,36
-43,-17,-67
-9,-31,-41
-64,-43,5
-70,-100,-83
-2,-78,18
20,-54,48
64,-54,15
37,53,63
-82,72,4
-70,-75,-57
-23,-90,-37
71,7,20
11,29,-12
-98,-24,76
-77,6,-88
85,79,-63
19,-60,-85
92,-40,-39
-69,95,-63
-83,61,85
-48,-22,-26
57,-55,41
62,39,-24
-91,-54,-65
26,-31,97
15,-70,-42
-27,-61,-87
86,66,89
90,75,43
73,-76,-91
-86,31,35
-91,-82,-78
-8,-70,-42
-51,84,2
55,52,75
72,69,42
-89,-73,-94
92,-82,-66
-88,87,72
-69,-48,-56
-30,-65,-69
-41,89,-82
-46,51,-75
99,-83,0
50,70,-3
65,-59,100
48,-17,-14
11,76,45
-81,11,-100
-34,-85,-28
56,-99,83
-12,-23,-40
-66,-23,28
75,54,-5
32,-53,-16
-45,35,-11
-16,6,-7
78,71,-11
88,5,-70
-13,-19,84
-19,-36,-75
20,-50,-20
21,-68,77
7,35,-79
-31,79,-23
18,28,-24
-58,53,-45
-54,-7,23
-55,-55,90
34,89,30
-96,73,48
-14,-87,-29
34,34,61
-38,-29,79
50,-93,26
-79,-40,-61
25,-85,99
29,44,52
71,83,-23
-8,-55,93
34,18,94
75,-44,25
81,-61,-35
36,-20,-55
